communityname,State,countyCode,communityCode,fold,pop,perHoush,pctBlack,pctWhite,pctAsian,pctHisp,pct12-21,pct12-29,pct16-24,pct65up,persUrban,pctUrban,medIncome,pctWwage,pctWfarm,pctWdiv,pctWsocsec,pctPubAsst,pctRetire,medFamIncome,perCapInc,whitePerCap,blackPerCap,NAperCap,asianPerCap,otherPerCap,hispPerCap,persPoverty,pctPoverty,pctLowEdu,pctNotHSgrad,pctCollGrad,pctUnemploy,pctEmploy,pctEmployMfg,pctEmployProfServ,pctOccupManu,pctOccupMgmt,pctMaleDivorc,pctMaleNevMar,pctFemDivorc,pctAllDivorc,persPerFam,pct2Par,pctKids2Par,pctKids-4w2Par,pct12-17w2Par,pctWorkMom-6,pctWorkMom-18,kidsBornNevrMarr,pctKidsBornNevrMarr,numForeignBorn,pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,numPolice,policePerPop,policeField,policeFieldPerPop,policeCalls,policCallPerPop,policCallPerOffic,policePerPop2,racialMatch,pctPolicWhite,pctPolicBlack,pctPolicHisp,pctPolicAsian,pctPolicMinority,officDrugUnits,numDiffDrugsSeiz,policAveOT,landArea,popDensity,pctUsePubTrans,policCarsAvail,policOperBudget,pctPolicPatrol,gangUnit,pctOfficDrugUnit,policBudgetPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,nonViolPerPop,violentPerPop
Bloomingtoncity,IN,,,3,60633,2.89,4.03,91.16,4.04,1.64,36.54,58.57,46.22,6.18,60633,100.0,18393,84.61,0.66,47.29,16.0,4.65,10.37,29912,10616,10722,7581,8351,12297,5582.0,6446,14462,31.46,4.65,13.51,47.94,6.83,50.86,8.33,44.49,7.91,38.44,5.7,64.28,8.83,7.36,2.81,67.48,65.3,73.55,64.12,59.73,67.09,576,2.44,4115,44.71,54.9,67.53,71.47,3.03,3.73,4.58,4.85,90.97,1.31,2.29,1.47,2.19,2.39,2.09,37.28,2.85,65.7,2,1042,95.27,34.2,1.15,22.17,1967,3.7,0.25,52900,76300,107600,54700,268,348,438,170,403,34.9,18.1,11.7,61,0,6.79,52.83,23.52,42.67,71.02,,,,,,,,,,,,,,,,,,15.7,3871.8,3.45,,,,,0.0,,0,0.0,20.0,31.69,10.0,15.84,485.0,768.45,354.0,560.89,1797.0,2847.23,160.0,253.51,5.0,7.92,3669.55,815.98
Rustoncity,LA,,,1,20027,2.89,33.9,63.88,1.61,1.31,29.58,46.46,34.87,9.8,0,0.0,17826,73.04,1.82,33.95,23.83,7.7,12.38,27707,9610,11998,5156,4138,8163,9927.0,5335,5036,30.26,8.95,21.53,33.99,10.69,47.49,10.0,40.94,9.92,34.21,5.4,55.02,9.28,7.37,3.1,65.83,58.82,77.92,70.24,64.04,68.77,1031,8.68,644,27.48,45.96,58.7,65.37,0.88,1.48,1.89,2.1,94.19,0.78,5.44,3.26,2.41,2.6,2.21,53.9,3.42,50.28,2,736,90.4,49.81,4.21,41.98,1968,8.41,0.48,40700,59100,84600,43900,185,261,326,141,329,32.5,19.0,12.2,0,0,3.22,69.38,40.08,60.91,86.15,,,,,,,,,,,,,,,,,,17.9,1118.3,0.28,,,,,0.0,,0,0.0,1.0,4.94,38.0,187.67,223.0,1101.34,291.0,1437.18,1519.0,7501.98,32.0,158.04,4.0,19.76,9116.95,1293.95
Independencecity,MO,,,5,112301,2.48,1.45,96.2,0.98,1.97,12.45,25.52,11.82,13.0,111456,99.25,28242,77.67,0.72,41.65,28.24,5.16,17.79,34010,13208,13357,8217,9864,8041,11186.0,10057,10557,9.52,6.88,21.65,13.74,5.46,63.81,17.58,19.31,17.37,20.94,11.28,22.99,14.72,13.12,2.96,74.41,70.86,83.76,73.87,71.03,75.71,1295,1.48,1760,6.36,15.0,21.65,25.0,0.1,0.24,0.34,0.39,96.3,0.51,3.39,2.38,2.46,2.57,2.22,70.33,1.82,45.81,3,2940,93.91,67.11,1.97,33.03,1962,3.19,0.31,43100,56000,71600,28500,247,311,383,136,387,25.1,16.9,11.7,7,0,1.57,69.02,54.58,86.51,91.72,155.0,137.6,142.0,126.06,104100.0,92416.7,671.6,137.6,97.5,98.71,0.65,0.0,0.65,1.29,6.0,8.0,73.5,81.0,1386.3,1.28,40.0,8036000.0,91.61,10.0,3.87,71341.1,4,3.55,51.0,45.28,137.0,121.62,463.0,411.04,1372.0,1218.02,4315.0,3830.72,857.0,760.82,29.0,25.75,5835.3,581.49
Duncanvillecity,TX,,,1,35748,2.86,12.06,82.54,2.14,6.65,16.21,26.78,12.34,6.32,35748,100.0,41028,88.18,1.02,46.43,16.44,2.52,12.66,46108,17060,17853,12576,18319,17993,12205.0,11526,1343,3.78,3.75,12.99,29.02,4.57,72.16,13.67,22.5,10.66,32.53,8.16,24.47,13.94,11.2,3.22,78.22,76.06,86.43,76.93,62.9,73.78,437,1.81,1211,5.95,11.31,25.85,37.74,0.2,0.38,0.88,1.28,92.84,0.56,4.24,3.42,2.85,2.96,2.62,70.39,3.35,27.98,3,849,93.64,67.72,0.59,24.62,1975,1.87,0.18,65300,86200,117500,52200,349,456,553,204,529,26.2,19.9,11.3,0,0,3.39,63.45,52.65,83.13,91.59,,,,,,,,,,,,,,,,,,11.7,3057.5,0.89,,,,,0.0,,0,0.0,19.0,51.17,56.0,150.83,98.0,263.95,414.0,1115.06,1188.0,3199.74,262.0,705.67,16.0,43.09,5063.56,465.96
LakeHavasuCitycity,AZ,,,10,24363,2.46,0.24,97.89,0.46,3.66,10.16,18.45,8.51,22.87,0,0.0,28826,64.87,0.34,47.1,42.91,3.66,29.2,31639,14418,14565,11317,10095,5504,4905.0,7619,1958,8.14,5.19,20.98,13.3,3.19,52.39,12.01,16.1,12.6,19.85,9.64,17.49,11.17,10.42,2.71,78.52,75.12,88.98,76.54,66.7,72.35,162,0.76,1087,4.97,7.08,9.75,10.21,0.22,0.32,0.44,0.46,94.01,0.89,2.89,2.2,2.41,2.4,2.45,73.75,2.63,43.09,3,2926,77.22,74.19,0.17,23.48,1979,3.53,0.25,65800,83500,110400,44600,324,403,520,196,484,26.2,22.8,11.4,0,0,4.46,11.14,37.35,56.85,61.8,,,,,,,,,,,,,,,,,,44.6,546.4,0.36,,,,,0.0,,2,6.06,4.0,12.12,6.0,18.17,53.0,160.54,294.0,890.53,1184.0,3586.36,93.0,281.7,17.0,51.49,4810.08,196.89
Brecksvillecity,OH,35.0,8364.0,8,11818,2.77,1.96,95.53,2.33,0.89,10.63,17.83,8.49,13.38,11818,100.0,53396,80.87,0.26,71.35,27.0,1.16,21.55,60514,25356,25049,6733,396,65560,0.0,38089,255,2.26,2.5,9.43,41.57,3.78,59.51,20.44,27.2,6.63,50.79,8.24,24.19,7.05,7.65,3.07,92.06,90.93,96.71,91.01,47.53,59.51,0,0.0,593,5.4,5.4,5.4,7.08,0.27,0.27,0.27,0.36,89.93,0.69,3.34,2.6,2.65,2.77,1.89,90.76,0.19,20.72,3,142,96.78,87.01,0.0,19.72,1969,0.14,0.16,111900,144400,190800,78900,488,612,870,382,708,27.1,20.7,12.1,0,0,5.02,73.9,59.99,83.95,92.78,,,,,,,,,,,,,,,,,,20.3,581.7,3.52,,,,,0.0,,0,0.0,1.0,7.94,1.0,7.94,3.0,23.83,16.0,127.08,87.0,691.02,11.0,87.37,0.0,0.0,905.48,39.71
TheColonycity,TX,,,4,22113,3.27,4.77,88.62,1.76,8.61,13.48,27.89,9.82,1.74,0,0.0,42743,95.62,0.24,36.73,6.38,1.33,5.44,43743,14070,14592,11297,12010,10021,8619.0,9313,630,2.85,2.61,10.07,21.46,4.49,80.02,20.78,14.48,10.97,25.15,6.98,20.03,9.94,8.47,3.51,88.01,86.39,93.56,89.42,72.49,76.89,91,0.76,1123,6.95,13.18,27.43,32.86,0.35,0.67,1.39,1.67,89.96,1.61,5.84,5.11,3.27,3.21,3.45,75.93,4.65,11.41,3,380,94.69,77.2,0.26,32.63,1980,1.41,0.08,59800,70300,85200,25400,484,534,588,104,687,24.7,23.1,13.5,0,0,5.06,48.16,42.45,60.44,83.45,,,,,,,,,,,,,,,,,,12.1,1825.7,0.48,,,,,0.0,,0,0.0,1.0,3.71,5.0,18.54,32.0,118.64,168.0,622.85,527.0,1953.81,43.0,159.42,25.0,92.69,2828.75,140.88
Juneaucity,AK,,,7,26751,2.7,1.09,80.63,4.31,2.8,12.55,24.66,10.53,4.73,0,0.0,47924,89.62,1.27,89.04,11.86,6.53,16.53,54088,19920,21937,14034,10530,12850,13356.0,12586,1468,5.59,3.3,10.14,30.71,4.75,75.0,2.35,22.2,7.53,37.66,12.93,30.24,15.89,14.4,3.18,74.38,72.27,78.87,77.36,68.89,79.22,477,2.74,1298,10.25,19.8,29.2,37.6,0.5,0.96,1.42,1.82,92.63,0.8,5.69,3.89,2.66,2.83,2.42,61.98,5.34,50.39,2,736,93.08,58.21,1.77,38.32,1975,4.85,2.49,88300,113500,144600,56300,448,587,736,288,653,23.9,20.3,11.6,12,0,4.85,34.5,41.77,72.14,82.02,,,,,,,,,,,,,,,,,,2686.9,10.0,5.09,,,,,0.0,,0,0.0,12.0,41.53,3.0,10.38,18.0,62.3,128.0,443.0,857.0,2966.01,59.0,204.19,7.0,24.23,3637.43,114.21
Garycity,IN,,,5,116646,2.85,80.57,16.31,0.18,5.74,17.22,27.6,13.44,10.52,116646,100.0,19390,68.06,0.33,16.58,31.63,17.1,20.47,23173,8994,11316,8573,8675,8259,7660.0,7743,33964,29.43,11.68,35.24,8.81,16.6,47.37,25.67,27.4,22.42,17.98,14.84,38.76,18.69,16.98,3.42,43.22,35.76,43.81,50.14,53.81,62.52,13904,12.63,1660,4.46,4.46,7.17,8.61,0.06,0.06,0.1,0.12,93.13,0.68,10.66,7.61,2.83,2.92,2.69,60.61,6.75,52.23,2,6114,87.01,58.62,32.22,70.85,1954,9.3,0.65,22100,31700,44200,22100,152,223,286,134,335,29.9,18.5,15.4,89,20,1.42,59.49,64.54,92.06,93.19,208.0,180.45,164.0,142.28,72000.0,62462.6,346.2,180.4,89.35,25.96,67.31,6.73,0.0,74.04,16.0,6.0,81.7,52.0,2241.1,6.1,113.0,8000000.0,78.85,5.0,7.69,69402.9,105,91.09,174.0,150.95,934.0,810.28,1271.0,1102.64,2555.0,2216.55,3589.0,3113.59,2603.0,2258.2,503.0,436.37,8024.71,2154.96
Nortontown,MA,5.0,49970.0,8,14265,3.07,1.34,97.1,1.04,1.22,19.05,31.62,17.7,7.28,2371,16.62,43861,88.08,0.91,39.74,19.66,5.66,12.88,47349,16023,15926,19959,15120,22451,8558.0,13562,718,5.5,5.02,16.58,22.12,5.01,69.99,24.11,26.64,12.66,27.89,7.83,30.86,9.9,8.96,3.21,79.9,79.31,89.25,85.26,55.98,67.87,126,1.39,535,8.41,9.72,11.03,13.27,0.32,0.36,0.41,0.5,94.15,0.34,4.18,3.28,2.81,2.94,2.38,80.71,1.31,46.64,3,211,95.65,77.2,0.95,52.61,1968,0.71,0.58,118600,143500,169000,50400,255,479,624,369,574,22.8,22.6,13.2,0,0,3.75,72.56,55.33,72.14,89.52,,,,,,,,,,,,,,,,,,29.7,479.7,2.89,,,,,0.0,,0,0.0,0.0,0.0,0.0,0.0,28.0,186.22,78.0,518.75,195.0,1296.89,18.0,119.71,0.0,0.0,1935.36,186.22
SanJacintocity,CA,,,2,16210,2.69,1.19,74.64,0.96,33.65,12.09,24.11,11.02,19.78,16210,100.0,20810,59.38,0.23,32.35,44.7,15.74,21.93,23587,9361,10335,6375,6996,11639,6122.0,5998,2552,15.96,16.5,39.28,7.75,8.24,45.23,12.58,21.54,16.05,18.45,9.87,24.74,15.09,12.61,3.2,68.18,63.91,77.36,79.55,45.52,51.69,558,3.93,2377,15.9,26.42,32.39,38.91,2.33,3.87,4.75,5.71,73.28,6.72,10.17,7.14,2.65,2.45,3.07,62.04,10.86,69.57,2,823,87.98,67.17,0.73,38.88,1977,4.77,0.56,72000,90400,114000,42000,274,385,485,211,455,29.8,24.5,12.6,0,0,14.66,45.98,35.98,68.96,87.54,,,,,,,,,,,,,,,,,,11.0,1477.4,0.48,,,,,0.0,,1,4.8,7.0,33.62,20.0,96.05,101.0,485.04,350.0,1680.83,264.0,1267.83,99.0,475.44,0.0,0.0,3424.1,619.51
Plainfieldcity,NJ,39.0,59190.0,9,46567,3.07,65.65,26.5,1.06,15.02,14.15,29.29,14.33,8.68,46567,100.0,38463,82.99,0.17,30.78,21.76,9.13,11.85,42238,14742,19070,13496,13027,15418,9673.0,9252,5604,12.22,10.75,28.56,18.88,8.65,66.65,21.49,23.55,22.05,21.92,10.45,41.87,14.86,12.79,3.49,56.66,47.74,66.46,57.5,73.85,79.1,4120,12.27,7011,22.28,40.08,50.08,58.66,3.35,6.03,7.54,8.83,81.35,6.18,12.9,9.47,3.02,3.23,2.8,54.49,10.44,49.08,3,917,94.29,50.98,5.56,39.48,1948,7.43,0.68,107800,141400,174800,67000,443,558,658,215,627,27.0,25.0,15.2,4,16,15.06,50.04,56.58,79.36,88.3,126.0,279.84,115.0,255.41,54562.0,121181.6,433.0,279.8,70.15,56.35,34.13,8.73,0.79,38.89,8.0,6.0,80.2,6.3,7442.1,7.17,47.0,8111687.0,91.27,0.0,6.35,180159.59,9,19.99,28.0,62.19,377.0,837.31,296.0,657.41,924.0,2052.19,1609.0,3573.57,424.0,941.7,16.0,35.54,6603.0,1576.9
Davietown,FL,,,2,47217,2.64,3.85,92.82,1.75,9.98,12.46,26.77,12.0,8.46,47217,100.0,36843,87.0,0.39,38.53,19.32,2.99,10.16,41768,16747,17319,7042,20457,12342,10262.0,13599,3639,7.77,4.56,19.32,20.5,4.66,70.62,9.29,20.0,8.95,27.69,11.74,27.29,15.43,13.64,3.06,76.49,73.84,86.33,76.04,59.89,71.0,648,2.1,5150,17.63,24.35,33.59,44.99,1.92,2.66,3.66,4.91,84.18,2.08,3.49,2.51,2.62,2.69,2.43,75.71,4.32,51.08,2,1982,90.03,73.83,2.88,27.45,1979,2.97,0.4,75900,106600,150900,75000,392,498,601,209,581,26.3,24.8,11.3,0,0,10.91,30.22,36.21,71.45,83.54,,,,,,,,,,,,,,,,,,33.5,1411.1,0.49,,,,,0.0,,1,1.72,21.0,36.09,49.0,84.21,241.0,414.17,706.0,1213.29,2819.0,4844.56,394.0,677.1,5.0,8.59,6743.54,536.18
Bellcity,CA,,,7,34365,3.81,1.05,42.04,1.37,86.08,17.69,35.61,18.2,5.88,34365,100.0,22515,78.92,0.32,12.74,19.17,15.17,9.15,23262,7104,7949,8209,5401,8103,6427.0,6376,8909,26.13,44.54,66.39,3.72,12.37,54.41,37.53,10.71,37.41,8.08,8.03,41.12,12.45,10.19,4.18,69.02,62.55,69.81,71.02,42.63,47.08,3128,12.57,19600,18.12,27.16,36.53,50.61,10.34,15.49,20.84,28.86,16.05,36.78,26.17,20.87,3.78,3.78,3.78,30.42,45.97,86.6,1,388,95.87,30.43,1.8,17.27,1957,6.04,0.87,136200,171200,206800,70600,425,514,617,192,548,31.5,32.7,12.4,190,0,57.03,33.52,39.72,82.84,85.61,,,,,,,,,,,,,,,,,,2.7,12958.1,9.79,,,,,0.0,,8,22.31,6.0,16.73,166.0,462.83,131.0,365.25,235.0,655.22,283.0,789.05,282.0,786.26,3.0,8.36,2238.89,867.12
Clearlakecity,CA,,,1,11804,2.28,4.35,91.05,1.06,5.69,10.89,18.64,8.68,23.42,0,0.0,16600,48.41,0.1,26.22,49.6,22.96,23.99,20998,9531,9679,7842,7370,9129,7763.0,5860,2595,22.15,10.62,38.79,5.26,12.8,34.84,3.79,21.69,15.05,17.56,16.84,19.44,18.56,17.75,2.8,55.92,50.72,48.36,80.37,51.14,55.79,257,2.34,373,1.61,8.85,15.28,16.89,0.05,0.28,0.48,0.53,94.94,0.19,4.53,2.86,2.27,2.15,2.49,62.24,6.51,78.1,2,2136,70.8,65.59,1.31,57.4,1971,10.41,0.49,51000,68200,94600,43600,251,323,394,143,437,34.0,25.1,14.6,6,25,3.16,58.06,40.94,66.21,93.29,,,,,,,,,,,,,,,,,,10.7,1101.9,0.57,,,,,0.0,,1,7.63,11.0,83.97,18.0,137.4,191.0,1458.02,461.0,3519.08,598.0,4564.89,76.0,580.15,13.0,99.24,8763.36,1687.02
Hopatcongborough,NJ,37.0,32910.0,10,15586,2.92,1.41,96.01,1.76,3.61,13.32,27.3,11.77,5.81,15586,100.0,48203,89.65,1.21,48.4,15.44,3.02,12.11,51924,17642,17793,13444,0,13195,17713.0,13991,504,3.24,4.27,13.67,20.54,4.55,74.43,20.02,16.95,12.55,25.69,6.2,28.4,8.33,7.26,3.29,87.19,86.03,95.44,86.32,53.82,68.59,112,1.2,948,8.12,11.08,14.03,25.63,0.49,0.67,0.85,1.56,91.36,0.69,4.78,3.85,2.92,2.96,2.61,89.84,1.48,36.14,3,841,86.37,88.63,3.33,57.31,1961,1.78,0.0,118800,142800,166600,47800,530,673,840,310,879,28.7,26.6,15.6,0,0,6.08,64.03,59.81,69.42,94.47,,,,,,,,,,,,,,,,,,11.3,1377.3,1.85,,,,,0.0,,0,0.0,4.0,24.8,0.0,0.0,17.0,105.41,55.0,341.04,206.0,1277.36,7.0,43.41,2.0,12.4,1674.21,130.22
Dubuquecity,IA,61.0,91085.0,9,57546,2.68,0.58,98.4,0.64,0.64,15.22,26.93,14.36,13.79,57546,100.0,27027,74.53,1.14,52.26,31.05,6.47,18.8,32881,12377,12488,4593,7034,4741,5302.0,5222,5958,10.9,9.4,21.58,19.42,5.01,61.98,21.58,29.68,15.86,24.8,6.79,31.41,8.34,7.63,3.11,79.61,79.66,85.11,83.59,71.52,76.35,814,1.62,839,28.72,32.66,39.09,42.19,0.42,0.48,0.57,0.62,96.5,0.69,4.58,3.22,2.52,2.77,2.02,72.8,1.28,43.34,3,940,95.8,66.11,3.94,42.23,1952,2.37,0.18,38800,51600,67400,28600,195,255,330,135,315,24.2,16.1,12.1,79,84,1.46,77.04,56.88,84.39,89.32,,,,,,,,,,,,,,,,,,23.9,2409.0,1.1,,,,,0.0,,0,0.0,43.0,72.45,14.0,23.59,123.0,207.23,527.0,887.88,1876.0,3160.64,138.0,232.5,44.0,74.13,4355.15,303.26
HasbrouckHeightsborough,NJ,3.0,30420.0,3,11488,2.63,0.81,94.59,3.73,4.22,10.82,22.63,10.84,15.9,11488,100.0,44672,79.98,0.0,61.51,36.06,2.59,19.09,52919,21339,21510,16345,0,16961,23422.0,24727,288,2.51,6.18,20.42,22.04,4.58,63.5,15.63,19.84,11.09,30.41,5.7,29.86,7.22,6.5,3.18,87.07,85.57,90.77,93.52,44.57,57.83,73,1.0,1337,13.39,21.91,30.89,34.33,1.56,2.55,3.6,4.0,83.77,1.57,4.67,3.42,2.63,2.93,1.95,77.82,1.24,41.8,3,147,96.74,70.02,0.0,23.13,1948,0.53,1.0,177100,202400,241300,64200,481,621,722,241,673,24.1,23.0,15.4,0,0,11.64,64.76,70.63,88.32,93.58,,,,,,,,,,,,,,,,,,1.6,7345.3,9.64,,,,,0.0,,0,0.0,1.0,8.49,8.0,67.91,1.0,8.49,64.0,543.25,247.0,2096.6,58.0,492.32,1.0,8.49,3140.65,84.88
Hobartcity,IN,,,5,21822,2.7,0.22,98.37,0.22,4.85,13.99,24.93,11.45,12.84,21822,100.0,34602,78.41,0.72,45.66,32.29,3.55,22.2,40152,14596,14582,18120,10235,27563,10277.0,10215,1096,5.08,6.01,21.32,11.71,4.86,61.57,24.25,19.72,16.09,21.76,8.07,25.2,10.63,9.4,3.13,81.08,78.72,93.39,83.46,59.82,67.23,97,0.56,641,3.43,6.24,7.33,9.83,0.1,0.18,0.22,0.29,92.28,1.02,4.68,3.54,2.68,2.8,2.26,80.65,2.07,38.0,3,229,97.24,77.03,3.49,44.54,1957,2.04,0.13,41100,53000,68600,27500,296,361,427,131,445,24.2,15.4,12.9,0,0,2.94,69.48,63.4,88.13,93.68,,,,,,,,,,,,,,,,,,16.0,1363.5,2.11,,,,,0.0,,0,0.0,0.0,0.0,11.0,45.03,29.0,118.72,109.0,446.21,384.0,1571.97,88.0,360.24,0.0,0.0,2378.42,163.75
Canyoncity,TX,,,7,11365,2.72,2.51,90.8,1.85,9.22,24.18,40.4,26.74,8.55,0,0.0,23184,81.7,4.79,36.18,21.85,3.5,13.82,33815,10844,11485,3254,4769,4142,5240.0,5942,1751,17.28,5.29,14.6,39.07,5.8,64.3,4.5,38.81,8.62,32.7,6.56,39.63,11.25,9.04,3.05,72.98,72.44,81.83,75.5,73.66,79.12,64,0.87,336,37.5,41.96,51.79,58.33,1.11,1.24,1.53,1.72,88.7,1.17,3.49,2.27,2.43,2.62,2.19,59.28,3.06,48.38,3,589,87.66,54.85,2.38,35.48,1969,5.83,0.98,44800,57400,77200,32400,204,269,346,142,329,29.0,21.1,12.3,0,0,2.96,68.39,37.55,59.09,89.07,,,,,,,,,,,,,,,,,,5.1,2214.5,0.0,,,,,0.0,,0,0.0,2.0,16.7,0.0,0.0,6.0,50.1,37.0,308.93,186.0,1552.98,7.0,58.45,1.0,8.35,1928.7,66.79
Somervillecity,MA,17.0,62535.0,6,76210,2.51,5.6,88.73,3.71,6.28,12.34,36.91,18.58,11.08,76210,100.0,32455,80.36,0.55,46.82,24.83,7.45,14.54,38532,15179,15596,12581,5554,12178,9921.0,10332,8492,11.47,11.08,24.82,30.88,6.33,66.46,12.66,36.6,10.19,32.59,6.53,51.42,9.4,8.04,3.1,68.84,66.35,81.97,71.38,61.64,68.15,1912,4.28,16975,20.67,31.67,41.3,50.54,4.6,7.05,9.2,11.26,73.74,6.54,6.34,3.65,2.44,2.76,2.3,35.09,3.87,65.23,2,1467,95.38,31.0,3.07,37.22,1939,1.94,0.18,135500,165800,198300,62800,416,591,743,327,677,27.2,21.6,15.4,54,1,22.27,54.68,49.22,70.48,78.68,135.0,194.76,127.0,183.22,47000.0,67805.4,348.1,194.8,92.43,96.3,2.96,0.74,0.0,3.7,6.0,5.0,74.1,4.3,17893.0,27.93,24.0,6748743.0,94.07,0.0,4.44,97362.0,0,0.0,10.0,14.43,123.0,177.45,40.0,57.71,604.0,871.37,948.0,1367.65,761.0,1097.87,8.0,11.54,3348.43,249.58
Atlantacity,GA,,,8,394017,2.53,67.07,31.05,0.89,1.91,14.88,30.26,15.75,9.99,394017,100.0,22275,74.58,0.65,26.67,23.4,13.64,11.25,25173,15279,31228,8043,12703,12867,6639.0,11938,102364,27.29,10.96,30.13,26.65,9.13,56.97,9.41,25.11,13.9,28.82,15.05,47.78,18.83,17.06,3.18,40.37,33.2,42.95,43.91,56.8,63.98,43400,15.55,13354,19.87,36.66,47.69,59.91,0.67,1.24,1.62,2.03,94.19,1.19,7.82,4.47,2.4,2.56,2.27,46.02,6.49,63.74,2,27002,85.22,43.1,12.77,34.35,1958,9.05,0.76,46700,71200,151000,104300,198,342,464,266,422,28.7,22.6,14.7,2431,60,3.39,66.91,49.85,77.51,86.94,207.0,51.19,197.0,48.72,221000.0,54657.4,1067.6,51.2,49.89,81.16,17.87,0.97,0.0,18.84,12.0,7.0,0.0,136.5,2886.0,20.4,173.0,11085000.0,95.17,10.0,5.8,27415.3,203,50.21,492.0,121.68,6045.0,1495.04,9541.0,2359.67,13168.0,3256.69,31249.0,7728.45,9216.0,2279.29,248.0,61.33,13325.77,4026.59
Kennettcity,MO,,,10,10941,2.48,10.64,88.59,0.5,0.41,14.73,25.59,12.05,15.3,0,0.0,15508,62.66,2.51,26.21,38.09,20.89,13.25,21281,9558,10182,3388,13625,36235,0.0,31289,3396,31.61,24.08,45.68,10.86,9.28,50.07,19.15,27.23,19.69,23.97,10.99,22.41,14.31,12.84,3.01,67.44,60.84,75.8,69.12,49.76,61.57,399,3.59,37,0.0,13.51,40.54,40.54,0.0,0.05,0.14,0.14,98.08,0.24,4.17,2.9,2.44,2.43,2.45,61.26,3.47,51.38,2,271,94.21,61.43,5.9,42.44,1965,12.18,0.66,23000,36900,56800,33800,99,152,203,104,223,27.9,16.1,12.2,0,0,0.34,65.52,55.4,84.91,91.24,,,,,,,,,,,,,,,,,,6.5,1672.9,0.38,,,,,0.0,,1,8.82,18.0,158.69,20.0,176.32,110.0,969.76,287.0,2530.19,734.0,6470.95,57.0,502.51,0.0,0.0,9503.66,1313.59
Stroudtownship,PA,89.0,74880.0,9,10600,2.66,1.72,96.8,1.05,1.79,12.81,21.97,10.57,13.2,0,0.0,39690,78.49,0.35,48.54,28.38,2.74,16.76,45006,16945,17141,11679,43000,9904,12320.0,15430,405,3.86,6.74,18.67,22.01,4.77,63.47,17.98,20.75,14.36,24.58,7.78,24.1,9.14,8.48,3.04,84.17,81.59,93.98,88.1,50.68,65.12,96,1.31,444,10.59,22.07,27.7,35.81,0.44,0.92,1.16,1.5,92.01,0.68,3.64,2.76,2.64,2.68,2.5,81.57,1.31,28.01,3,915,81.3,80.47,0.98,24.04,1969,0.7,0.35,92300,124500,164200,71900,336,436,584,248,523,25.8,22.5,12.8,0,0,4.19,59.87,57.83,74.94,79.42,,,,,,,,,,,,,,,,,,32.3,327.8,2.26,,,,,0.0,,0,0.0,2.0,18.55,5.0,46.39,14.0,129.88,45.0,417.48,509.0,4722.14,30.0,278.32,3.0,27.83,5445.77,194.82
Turlockcity,CA,,,7,42198,2.87,1.18,82.52,4.37,20.97,14.5,28.71,13.76,10.8,0,0.0,27293,77.84,1.68,33.57,24.57,13.48,12.56,31592,11936,12746,9549,12076,10614,6532.0,7405,5443,13.23,16.05,30.39,17.05,8.77,57.77,20.75,23.77,19.44,22.9,9.03,28.68,13.66,11.47,3.28,73.88,70.47,84.24,75.3,55.94,63.0,880,2.66,7940,13.99,22.07,30.53,39.58,2.63,4.15,5.74,7.45,70.22,8.24,7.43,5.47,2.81,2.86,2.74,53.58,10.34,50.77,2,711,95.38,52.53,3.66,17.3,1976,2.93,0.4,95600,123300,150400,54800,332,406,484,152,460,27.7,23.2,11.9,81,0,18.82,57.63,38.46,71.92,90.89,,,,,,,,,,,,,,,,,,9.9,4248.7,0.47,,,,,0.0,,2,4.29,24.0,51.51,68.0,145.94,301.0,646.02,833.0,1787.82,2165.0,4646.62,505.0,1083.85,53.0,113.75,7632.05,847.77
